Артикул	Название	Текущий_магазин_шт	Новый_магазин_шт	Факт_продажи_мес	Остаток_ВБ_шт
207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21] / Тональный крем с муцином улитки 21 тон	281	150	153	25
437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml - Очищающая пенка для умывания лица от прыщей и акне	150	150	149	325
151175880	PETITFEE - Black Pearl & Gold Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с черным жемчугом и золотом	258	150	137	16
207483780	JIGOTT - Birds Nest Firming Cream [70ml] / Антивозрастной крем с экстрактом ласточкиного гнезда	184	150	126	68
212757456	JIGOTT - Daily Real Cica Toner [300ml] / Тонер для лица с центеллой азиатской	150	150	115	159
551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]/Тонер-пэды от воспалений	150	150	115	182
151175877	PETITFEE - Agave Cooling Hydrogel Eye Patch [60ea] / Охлаждающие гидрогелевые патчи для глаз с экстрактом агавы	201	150	115	29
179611207	PETITFEE - Gold & Snail Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с золотом и улиткой	221	150	113	5
212760119	JIGOTT - Ultimate Real Collagen Toner [300ml] / тонер с коллагеном антивозрастной	150	150	98	308
226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs] / Успокаивающая гидрогелевая маска для лица с экстрактом ромашки	45	45	92	0
198156698	MANYO - Pure Cleansing Oil [200ml] / Гидрофильное масло для глубокого очищения	150	150	91	123
868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml] / Гель для умывания с бифидобактериями	150	150	91	114
226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом и экстрактом улитки	150	150	77	45
226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом	150	150	55	0
868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml] / Сыворотка с микроиглами и пробиотиками	150	150	46	105
179611231	PETITFEE - Collagen & CoQ10 Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с коллагеном и коэнзимом Q10	150	150	42	32
212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml] / Тонер с гиалуроновой кислотой антивозрастной	150	150	42	84
212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml] / Тонер для лица увлажняющий с экстрактом алоэ	150	150	39	5
180988755	PETITFEE - Bera Glucan Deep Firming Eye Patch [60ea] / Тканевые патчи для век увлажняющие	90	150	36	84
180711104	PETITFEE - Gold Hydrogel Eye Patch [60ea] / гидрогелевые патчи для глаз с золотом	150	150	35	93
179611278	PETITFEE - Artichoke Soothing Hydrogel Eye Patch [60ea] / Смягчающие гидрогелевые патчи для глаз с экстрактом артишока	150	150	32	107
179611304	PETITFEE - Cacao Energizing Hydrogel Eye Patch [60ea] / Тонизирующие гидрогелевые патчи для глаз с экстрактом какао	72	72	25	147
551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]/Подтягивающий бустер-крем с ретинолом для лица	150	150	18	545
180711041	PETITFEE - Gold & EGF Hydrogel Eye & Spot Patch [60ea]/ гидрогелевые патчи с золотом и EGF	36	36	10	63
551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]/Тонер-пэды для выравнивания тона и рельефа кожи	150	150	5	214
307073881	ETUDE - Baking Powder BB Deep Cleansing Foam [160ml] / Пенка с содой для глубокого очищения и снятия макияжа	150	150	3	16
207466866	HEIMISH - Artless Glow Base SPF50+ PA+++(Renew) [40ml] / База под макияж SPF50+ PA+++	150	150	2	49
212885914	FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml] / Сыворотка роллер для глаз	150	150	0	102
199427475	DR. JART - Ctrl+A Teatreatment Toner [120ml] / Тонер тоник для лица увлажняющий с чайным деревом	150	150	0	86
198143251	MANYO - Bifida Biome Ampoule Lotion [300ml] / Укрепляющий лосьон с бифидобактериями	150	150	0	0
226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs] / Тонизирующая гидрогелевая маска для лица с экстрактом какао	150	150	0	0
226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs] / Смягчающая гидрогелевая маска для лица с экстрактом артишока	150	150	0	0
226115478	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с черным жемчугом и золотом	150	150	0	0
1123574113	ROUND LAB 1025 DOKDO TONER_200ml / Отшелушивающий тоник с морской водой	150	150	0	19
551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]/успокаивающие тонер-пэды	150	150	0	129
1119249556	VT PDRN ESSENCE 100 / Укрепляющая бустер-эссенция с ПДРН	150	150	0	19
1123494802	VT REEDLE SHOT 100 / Бустер-сыворотка с микроиглами	150	150	0	27
