Артикул_ВБ	Название	Бренд	Заказов_6мес_2026	Локализация_сейчас_%	Прибыльность_факт_после_рекламы	Тренд_заказов_апр_май_июн_2026	Сезонность_2025	Остаток_по_РФ_всего	Регион	Рекомендуемый_склад	Остаток_в_регионе_сейчас	Целевой_остаток_мес_с_сезонностью	Отгрузить_шт	Статус
151175877	Гидрогелевые патчи от отеков и мешков под глазами	Petitfee	1286	43.6	Прибыльный (273₽/шт)	173→125→113	июль'25=0.52x от среднего, пик 2025: дек	42	Центральный	Коледино	1	16	15	Переброска
150925321	Увлажняющий тональный крем для лица матовый Collagen тон 13	ENOUGH	1200	58.0	Прибыльный (162₽/шт)	53→109→589	июль'25=0.40x от среднего (ограничено, факт 0.27x), пик 2025: окт	847	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	3	17	14	Переброска
205054338	Укрепляющий тоник для лица с бифидобактериями	manyo	1173	55.9	Прибыльный (670₽/шт)	311→25→1	июль'25=0.73x от среднего, пик 2025: ноя	0	Северо-Западный	СПБ Шушары	0	19	19	Нужна допзакупка
207477077	Увлажняющий крем для лица с коллагеном	farmstay	1120	56.6	Прибыльный (313₽/шт)	183→166→166	июль'25=0.40x от среднего (ограничено, факт 0.04x), пик 2025: дек	117	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	1	17	16	Переброска
207464799	Гидрофильное масло бальзам для лица очищающее	Heimish	1088	58.1	Прибыльный (177₽/шт)	239→4→1	июль'25=1.34x от среднего, пик 2025: ноя	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	37	37	Нужна допзакупка
419630142	Сыворотка для лица увлажняющая c муцыном улитки	Farm Stay	1081	57.4	Прибыльный (185₽/шт)	236→202→185	июль'25=0.54x от среднего, пик 2025: ноя	286	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	3	21	18	Переброска
170198835	Тональный крем для лица увлажняющий матовый коллаген	ENOUGH	1077	54.3	Прибыльный (266₽/шт)	251→153→0	июль'25=1.44x от среднего, пик 2025: июн	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	39	39	Нужна допзакупка
307073881	Очищающая пенка для снятия макияжа Baking Powder 160ml	Etude house	1021	46.5	Прибыльный (200₽/шт)	84→3→41	июль'25=1.18x от среднего, пик 2025: июн	55	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	57	57	Нужна допзакупка
212757456	Корейский тонер для лица увлажняющий с центеллой	Jigott	951	54.9	УБЫТОЧНЫЙ (-177₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	79→142→174	июль'25=0.40x от среднего (ограничено, факт 0.22x), пик 2025: ноя	291	Центральный	Коледино	58	7	0	НЕ отгружать — сначала юнитка
214312837	Тушь для ресниц Корея подкручивающая	THE SAEM	949	57.2	Прибыльный (1064₽/шт)	1→0→0	июль'25=0.40x от среднего (ограничено, факт 0.05x), пик 2025: янв	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	11	11	Нужна допзакупка
207796563	Крем для лица Aqua Hyaluronic Acid Water Drop	Elizavecca	849	50.9	Прибыльный (307₽/шт)	109→193→212	июль'25=1.20x от среднего, пик 2025: янв	181	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	2	30	28	Переброска
207479264	Ампульный крем для лица с коллагеном	EKEL	828	46.6	Низкая маржа (14₽/шт)	94→116→1	июль'25=0.76x от среднего, пик 2025: дек	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	18	18	Нужна допзакупка
207479264	Ампульный крем для лица с коллагеном	EKEL	828	46.6	Низкая маржа (14₽/шт)	94→116→1	июль'25=0.76x от среднего, пик 2025: дек	0	Приволжский	Казань	0	16	16	Нужна допзакупка
226115324	Корейские гидрогелевые маски для лица охлаждающие с агавой	Petitfee	821	54.8	Прибыльный (493₽/шт)	209→216→35	июль'25=0.99x от среднего, пик 2025: дек	1	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	28	28	Нужна допзакупка
212759698	Корейский успокаивающий тонер с алоэ	Jigott	818	51.8	Прибыльный (280₽/шт)	58→37→47	июль'25=1.31x от среднего, пик 2025: окт	3	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	38	38	Нужна допзакупка
437242640	Очищающая пенка для умывания лица от прыщей и акне Корея	round lab	805	44.7	Прибыльный (204₽/шт)	93→216→292	июль'25=0.40x от среднего (ограничено, факт 0.04x), пик 2025: дек	548	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	1	18	17	Переброска
226114935	Маски для лица с золотом	Petitfee	774	59.7	Прибыльный (568₽/шт)	115→49→30	июль'25=0.62x от среднего, пик 2025: дек	2	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	11	11	Нужна допзакупка
214305722	Шампунь для волос женский и бальзам c черным чесноком набор	DEOPROCE	761	57.2	Прибыльный (367₽/шт)	87→123→76	июль'25=0.40x от среднего (ограничено, факт 0.00x), пик 2025: дек	149	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	1	10	9	Переброска
551607905	Успокаивающие тонер пэды для лица с кислотами	Celimax	761	58.9	УБЫТОЧНЫЙ (-40₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	176→130→85	нет данных 2025	200	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	26	0	НЕ отгружать — сначала юнитка
214964091	Набор корейских тканевых масок для лица 10 шт	JMSolution	733	58.8	Низкая маржа (45₽/шт)	232→261→130	нет данных 2025	81	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	24	24	Переброска
190160197	Увлажняющий тоник для лица с коллагеном ампульный	EKEL	731	57.9	Прибыльный (276₽/шт)	18→0→0	июль'25=2.00x от среднего (ограничено, факт 2.21x), пик 2025: июл	0	Северо-Западный	СПБ Шушары	0	28	28	Нужна допзакупка
170198337	Корейский тональный крем с пептидами 21 тон	ENOUGH	698	58.2	Прибыльный (407₽/шт)	66→143→272	июль'25=2.00x от среднего (ограничено, факт 3.61x), пик 2025: июл	67	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	2	46	44	Переброска
154163936	Сыворотка для лица увлажняющая с гиалуроновой кислотой	Elizavecca	689	36.3	Прибыльный (312₽/шт)	2→1→1	июль'25=1.07x от среднего, пик 2025: янв	2	Южный и Северо-Кавказский	Краснодар	0	25	25	Нужна допзакупка
154163936	Сыворотка для лица увлажняющая с гиалуроновой кислотой	Elizavecca	689	36.3	Прибыльный (312₽/шт)	2→1→1	июль'25=1.07x от среднего, пик 2025: янв	2	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	25	25	Нужна допзакупка
179611278	Патчи под глаза гидрогелевые с артишоком	Petitfee	689	45.3	Прибыльный (194₽/шт)	38→39→41	июль'25=0.98x от среднего, пик 2025: июн	57	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	23	23	Переброска
255574453	Увлажняющие тканевые маски для лица Корея 15 штук	Jigott	675	58.2	УБЫТОЧНЫЙ (-1654₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	15→18→15	июль'25=0.71x от среднего, пик 2025: дек	4	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	13	0	НЕ отгружать — сначала юнитка
212885914	Сыворотка роллер для глаз увлажняющая	Farm Stay	664	46.2	Прибыльный (482₽/шт)	0→7→65	июль'25=1.80x от среднего, пик 2025: окт	115	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	1	47	46	Переброска
437203627	Гель для умывания лица увлажняющий Корея	round lab	659	32.2	Прибыльный (1151₽/шт)	0→0→0	июль'25=0.40x от среднего (ограничено, факт 0.06x), пик 2025: дек	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	16	16	Нужна допзакупка
437203627	Гель для умывания лица увлажняющий Корея	round lab	659	32.2	Прибыльный (1151₽/шт)	0→0→0	июль'25=0.40x от среднего (ограничено, факт 0.06x), пик 2025: дек	0	Приволжский	Казань	0	6	6	Нужна допзакупка
190159348	Очищающая пенка для лица с настоящим золотом	Elizavecca	654	58.4	Прибыльный (362₽/шт)	91→115→79	июль'25=0.89x от среднего, пик 2025: янв	104	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	3	25	22	Переброска
226115248	Корейские гидрогелевые маски для лица тонизирующие	Petitfee	618	44.5	Прибыльный (545₽/шт)	0→0→28	июль'25=0.71x от среднего, пик 2025: янв	3	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	13	13	Нужна допзакупка
226115248	Корейские гидрогелевые маски для лица тонизирующие	Petitfee	618	44.5	Прибыльный (545₽/шт)	0→0→28	июль'25=0.71x от среднего, пик 2025: янв	3	Северо-Западный	СПБ Шушары	0	11	11	Нужна допзакупка
551600265	Успокаивающие тонер пэды для лица с кислотами	Celimax	611	36.7	Прибыльный (939₽/шт)	0→0→44	июль'25=0.40x от среднего (ограничено, факт 0.00x), пик 2025: дек	116	Приволжский	Казань	0	7	7	Переброска
551600265	Успокаивающие тонер пэды для лица с кислотами	Celimax	611	36.7	Прибыльный (939₽/шт)	0→0→44	июль'25=0.40x от среднего (ограничено, факт 0.00x), пик 2025: дек	116	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	6	6	Переброска
198143251	Лосьон для лица Bifida Biome Ampoule Lotion	manyo	578	50.5	Прибыльный (512₽/шт)	1→1→120	июль'25=0.43x от среднего, пик 2025: дек	13	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	7	7	Переброска
226114831	Корейские гидрогелевые маски для лица с артишоком	Petitfee	572	47.4	Прибыльный (624₽/шт)	0→0→29	июль'25=1.23x от среднего, пик 2025: дек	1	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	26	26	Нужна допзакупка
170198876	Тональный крем для лица увлажняющий матовый коллаген	ENOUGH	551	53.5	УБЫТОЧНЫЙ (-41₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	82→97→90	июль'25=0.40x от среднего (ограничено, факт 0.23x), пик 2025: авг	116	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	1	8	0	НЕ отгружать — сначала юнитка
206135397	Крем для лица увлажняющий ежедневный	I'm Sorry for My Skin	534	50.4	Прибыльный (437₽/шт)	141→2→1	июль'25=0.74x от среднего, пик 2025: фев	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	14	14	Нужна допзакупка
226117746	Корейские гидрогелевые маски для лица с ромашкой	Petitfee	532	47.7	Прибыльный (530₽/шт)	128→89→48	июль'25=0.40x от среднего (ограничено, факт 0.34x), пик 2025: мар	7	Беларусь	Минск	0	7	7	Нужна допзакупка
437797551	Сыворотка для лица c витамином С и ниацинамидом	round lab	528	54.2	Низкая маржа (22₽/шт)	20→32→69	июль'25=0.40x от среднего (ограничено, факт 0.08x), пик 2025: дек	92	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	7	7	Переброска
868761530	Бальзам маска для губ Lip Sleeping Mask Berry	LANEIGE	520	57.5	УБЫТОЧНЫЙ (-16₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	85→200→183	нет данных 2025	297	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	14	0	НЕ отгружать — сначала юнитка
151132051	Отбеливающий тональный крем для лица 3в1 тон 13	ENOUGH	513	52.4	Прибыльный (895₽/шт)	65→86→83	июль'25=2.00x от среднего (ограничено, факт 2.22x), пик 2025: июл	30	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	28	28	Нужна допзакупка
179611207	Гидрогелевые патчи для глаз Корея антивозрастные от отеков	Petitfee	508	53.7	Прибыльный (743₽/шт)	164→100→49	июль'25=0.70x от среднего, пик 2025: дек	11	Северо-Западный	СПБ Шушары	0	9	9	Нужна допзакупка
154159632	Очищающая пенка для снятия макияжа Baking Powder 30ml	Etude house	465	50.1	Низкая маржа (64₽/шт)	64→51→34	июль'25=1.02x от среднего, пик 2025: фев	57	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	23	23	Переброска
207476777	Корейская пенка для умывания лица увлажняющая	Farm Stay	464	51.7	Прибыльный (124₽/шт)	53→43→33	июль'25=2.00x от среднего (ограничено, факт 2.01x), пик 2025: авг	181	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	47	47	Переброска
437845041	Крем для лица с ниацинамидом от чёрных точек Корея	round lab	410	49.8	УБЫТОЧНЫЙ (-215₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	81→64→1	июль'25=0.40x от среднего (ограничено, факт 0.10x), пик 2025: дек	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	8	0	НЕ отгружать — сначала юнитка
551387355	Крем-Бустер для лица с микроиглами и ретинолом	Celimax	398	52.3	Прибыльный (2498₽/шт)	31→24→47	июль'25=0.40x от среднего (ограничено, факт 0.00x), пик 2025: дек	445	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	5	5	Переброска
214977901	Маски для лица тканевые	JMSolution	395	55.4	УБЫТОЧНЫЙ (-62₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	149→34→29	июль'25=1.60x от среднего, пик 2025: окт	141	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	23	0	НЕ отгружать — сначала юнитка
437248870	Увлажняющий крем гель для лица и тела от воспалений Корея	round lab	391	28.6	УБЫТОЧНЫЙ (-79₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	1→0→0	июль'25=0.40x от среднего (ограничено, факт 0.34x), пик 2025: дек	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	7	0	НЕ отгружать — сначала юнитка
437248870	Увлажняющий крем гель для лица и тела от воспалений Корея	round lab	391	28.6	УБЫТОЧНЫЙ (-79₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	1→0→0	июль'25=0.40x от среднего (ограничено, факт 0.34x), пик 2025: дек	0	Южный и Северо-Кавказский	Краснодар	0	4	0	НЕ отгружать — сначала юнитка
206122859	Крем для лица увлажняющий	I'm Sorry for My Skin	388	49.0	Прибыльный (1023₽/шт)	0→0→0	июль'25=0.65x от среднего, пик 2025: янв	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	11	11	Нужна допзакупка
437190353	Увлажняющий крем для лица с берёзовым соком Корея	round lab	382	51.8	Прибыльный (1176₽/шт)	17→90→61	июль'25=0.40x от среднего (ограничено, факт 0.00x), пик 2025: дек	252	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	6	6	Переброска
551616449	Увлажняющий набор уходовых средств для лица	Celimax	381	36.2	Прибыльный (369₽/шт)	6→8→4	июль'25=0.40x от среднего (ограничено, факт 0.00x), пик 2025: дек	14	Приволжский	Казань	0	5	5	Переброска
551616449	Увлажняющий набор уходовых средств для лица	Celimax	381	36.2	Прибыльный (369₽/шт)	6→8→4	июль'25=0.40x от среднего (ограничено, факт 0.00x), пик 2025: дек	14	Южный и Северо-Кавказский	Краснодар	1	5	4	Переброска
207481714	Мягкий тонер для лица с кислотами AHA BHA	COSRX	378	46.6	Прибыльный (2799₽/шт)	55→2→0	июль'25=0.40x от среднего (ограничено, факт 0.18x), пик 2025: янв	0	Южный и Северо-Кавказский	Краснодар	0	5	5	Нужна допзакупка
437776835	Сыворотка для жирной кожи лица увлажняющая с центеллой	round lab	378	53.7	Низкая маржа (38₽/шт)	28→26→38	июль'25=0.40x от среднего (ограничено, факт 0.15x), пик 2025: дек	76	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	6	6	Переброска
608841921	Шампунь для волос женский c черным чесноком	DEOPROCE	369	59.3	Прибыльный (139₽/шт)	62→52→45	нет данных 2025	177	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	11	11	Переброска
210579932	Увлажняющий крем для кожи вокруг глаз	Lebelage	357	56.6	Прибыльный (306₽/шт)	60→55→2	июль'25=0.77x от среднего, пик 2025: дек	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	8	8	Нужна допзакупка
204258828	Пенка для умывания от прыщей	COSRX	336	52.1	Прибыльный (944₽/шт)	60→41→32	июль'25=0.40x от среднего (ограничено, факт 0.16x), пик 2025: апр	124	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	8	8	Переброска
206126372	Крем для лица с витамином C осветляющий	I'm Sorry for My Skin	335	55.8	Прибыльный (439₽/шт)	54→68→35	июль'25=0.73x от среднего, пик 2025: фев	106	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	12	12	Переброска
199425671	Корректор для лица от прыщей точечный	dr.Jart+	285	45.3	Прибыльный (812₽/шт)	1→2→0	июль'25=1.17x от среднего, пик 2025: июл	0	Южный и Северо-Кавказский	Краснодар	0	10	10	Нужна допзакупка
199425671	Корректор для лица от прыщей точечный	dr.Jart+	285	45.3	Прибыльный (812₽/шт)	1→2→0	июль'25=1.17x от среднего, пик 2025: июл	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	9	9	Нужна допзакупка
611747838	Увлажняющий тональный крем для лица матовый Collagen тон 23	ENOUGH	281	49.8	Прибыльный (167₽/шт)	17→23→61	нет данных 2025	138	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	10	10	Переброска
165002270	BB крем тональный солнцезащитный с коллагеном	ENOUGH	248	48.4	Прибыльный (263₽/шт)	61→44→0	июль'25=0.40x от среднего (ограничено, факт 0.29x), пик 2025: май	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	3	3	Нужна допзакупка
204250060	Гель для умывания против прыщей	COSRX	219	30.6	Прибыльный (243720₽/шт)	0→0→0	июль'25=0.40x от среднего (ограничено, факт 0.23x), пик 2025: янв	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	3	3	Нужна допзакупка
204250060	Гель для умывания против прыщей	COSRX	219	30.6	Прибыльный (243720₽/шт)	0→0→0	июль'25=0.40x от среднего (ограничено, факт 0.23x), пик 2025: янв	0	Северо-Западный	СПБ Шушары	0	3	3	Нужна допзакупка
207795785	Корейская энзимная пудра для снятия макияжа	Elizavecca	216	41.2	Прибыльный (4108₽/шт)	0→0→0	июль'25=0.93x от среднего, пик 2025: май	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	8	8	Нужна допзакупка
207795785	Корейская энзимная пудра для снятия макияжа	Elizavecca	216	41.2	Прибыльный (4108₽/шт)	0→0→0	июль'25=0.93x от среднего, пик 2025: май	0	Приволжский	Казань	0	5	5	Нужна допзакупка
151132052	Отбеливающий тональный крем для лица 3в1 тон 21	ENOUGH	194	53.1	Прибыльный (278₽/шт)	31→43→30	июль'25=1.00x от среднего, пик 2025: янв	465	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	8	8	Переброска
199367159	Пенка для умывания Dermaclear Micro Foam	dr.Jart+	166	31.9	Прибыльный (622₽/шт)	17→4→0	июль'25=0.40x от среднего (ограничено, факт 0.15x), пик 2025: янв	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	4	4	Нужна допзакупка
207818642	Увлажняющий крем для кожи вокруг глаз	Lebelage	162	59.3	Прибыльный (353₽/шт)	29→19→10	июль'25=0.84x от среднего, пик 2025: янв	28	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	5	5	Переброска
210575566	Увлажняющий крем для кожи вокруг глаз	Lebelage	161	54.7	Прибыльный (507₽/шт)	23→23→17	июль'25=1.13x от среднего, пик 2025: янв	23	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	7	7	Переброска
664171647	Гидрогелевые маски для лица набор 6 шт.	Petitfee	153	40.5	Прибыльный (459₽/шт)	0→0→0	нет данных 2025	0	Центральный	Коледино	0	6	6	Нужна допзакупка
664171647	Гидрогелевые маски для лица набор 6 шт.	Petitfee	153	40.5	Прибыльный (459₽/шт)	0→0→0	нет данных 2025	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	5	5	Нужна допзакупка
