Бренд;Наименование;Объем;Штрихкод;МРЦ;РРЦ;Цена A, руб;Цена B, руб;Цена C, руб
MEDICUBE;СЫВОРОТКА ДЛЯ ЛИЦА - MEDICUBE PDRN PINK GLUTATHIONE SERUM MIST;100мл;8800256112432;1590;1790;1092;1070;1059
MEDICUBE;КРЕМ ДЛЯ ЛИЦА - MEDICUBE PDRN PINK HYALURONIC MOISTURIZING CREAM;50мл;8800256113101;1490;1790;1043;1022;1012
MEDICUBE;КРЕМ ДЛЯ ГЛАЗ - MEDICUBE PDRN PINK PEPTIDE EYE CREAM;30мл;8800256119042;2290;2190;1223;1174;1113
MEDICUBE;СЫВОРОТКА ДЛЯ ЛИЦА - MEDICUBE PDRN PINK PEPTIDE SERUM;30мл;8800256108053;1690;2390;1340;1286;1219
MEDICUBE;КРЕМ ДЛЯ ЛИЦА - MEDICUBE TRIPLE COLLAGEN CREAM 4.0;50мл;8800256114313;2190;2790;1561;1499;1421
MEDICUBE;СЫВОРОТКА ДЛЯ ЛИЦА - MEDICUBE TXA NIACINAMAIDE 15 SERUM;30мл;8800256119134;1690;2290;1280;1229;1165
MEDICUBE;КРЕМ ДЛЯ ЛИЦА - MEDICUBE TXA NIACINAMAIDE CAPSULE CREAM;55г;8800256119660;1890;2990;1671;1621;1571
PURCELL;КРЕМ ДЛЯ ЛИЦА - PURCELL PIXCELL BIOM™ 5+ PROBIOTICS REBOOTING CREAM;50мл;8809859321456;2190;3090;1495;1435;1381
PURCELL;СЫВОРОТКА ДЛЯ ЛИЦА - PURCELL 24/7 COLOSTRUM PORE DEFENCE AMPOULE;55мл;8809859320039;1790;2590;1246;1196;1152
PURCELL;СЫВОРОТКА ДЛЯ ЛИЦА - PURCELL 88B/ML L- GLUTATHIONE FLEXIBLE LIPOSOME;30мл;8809859320596;1990;2890;1397;1341;1291
PURCELL;СЫВОРОТКА ДЛЯ ЛИЦА - PURCELL 82% HIGH DOSE™ PEPTIDE FORMULA;30мл;8809859320152;1990;2890;1406;1350;1299
PURCELL;ШАМПУНЬ ДЛЯ ВОЛОС - PURCELL PIXCELL BIOM™ SCALP BARRIER SHAMPOO;280мл;8809859320114;1490;2590;1260;1210;1164
PURCELL;СЫВОРОТКА ДЛЯ ЛИЦА - PURCELL L-GLUTATHIONE VITAMIN BOOSTING TONER;150мл;8809859320992;1390;2990;1456;1398;1345
PURCELL;СЫВОРОТКА ДЛЯ ЛИЦА - PURCELL PIXCELL BIOM™ GLOW BARRIER SERUM;50мл;8809859320985;1790;2490;1217;1168;1124
PURCELL;КРЕМ ДЛЯ ЛИЦА - PURCELL PIXCELL BIOM™ HYALURONIC COLLAGEN SPLASH CREAM;50мл;8809859321203;1990;2690;1317;1264;1217
