Прио	Товар	Артикул	Главный ключ (продвигать)	Цель продаж/мес	Выкупы	ДРР	Реклама ₽/мес	Обоснование
син	ENOUGH - Collagen Moisture Foundation [Tone 13] / Тональный крем для лица с коллагеном 13 тон	150925321	тональный крем для лица (частотн. уточнить)	70	70	22%	20020	Маг 125/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	JIGOTT - Daily Real Cica Toner [300ml] / Тонер для лица с центеллой азиатской	212757456	тонер для лица (частотн. уточнить)	70	70	22%	20020	Маг 115/мес, конкур ~70/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	JMSOLUTION - MASK PACK BLACK [30ml*10ea] - ассорти набор 10шт в упаковке	214977901	тканевая маска для лица (частотн. уточнить)	70	70	22%	20020	Маг 112/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]/Тонер-пэды для выравнивания тона и рельефа кожи	551540924	тонер пэды для лица (частотн. уточнить)	70	70	22%	20020	Маг 105/мес, конкур ~103/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	JIGOTT - Ultimate Real Collagen Toner [300ml] / тонер с коллагеном антивозрастной	212760119	тонер для лица (частотн. уточнить)	70	70	22%	20020	Маг 105/мес, конкур ~70/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	PETITFEE - Chamomile Lightening Hydrogel Eye Patch [60ea] / Успокаивающие гидрогелевые патчи для глаз с экстрактом ромашки	179611318	патчи для глаз (частотн. уточнить)	70	70	22%	20020	Маг 69/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	PETITFEE - Artichoke Soothing Hydrogel Eye Patch [60ea] / Смягчающие гидрогелевые патчи для глаз с экстрактом артишока	179611278	патчи для глаз (частотн. уточнить)	70	70	22%	20020	Маг 66/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	PETITFEE - Bera Glucan Deep Firming Eye Patch [60ea] / Тканевые патчи для век увлажняющие	180988755	патчи для глаз (частотн. уточнить)	70	70	22%	20020	Маг 65/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с черным жемчугом и золотом	226115478	тканевая маска для лица (частотн. уточнить)	70	70	22%	20020	Маг 54/мес, конкур ~1/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	PETITFEE - Collagen & CoQ10 Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с коллагеном и коэнзимом Q10	179611231	патчи для глаз (частотн. уточнить)	70	70	22%	20020	Маг 43/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	MANYO - Bifida Biome Ampoule Lotion [300ml] / Укрепляющий лосьон с бифидобактериями	198143251	сыворотка для лица (частотн. уточнить)	70	70	22%	20020	Маг 26/мес, конкур ~70/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	PETITFEE - Pink Vita Brightening Eye Patch [60ea] / Тканевые патчи для век увлажняющие	180987509	патчи для глаз (частотн. уточнить)	70	70	22%	20020	Маг 26/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	PETITFEE - Cacao Energizing Hydrogel Eye Patch [60ea] / Тонизирующие гидрогелевые патчи для глаз с экстрактом какао	179611304	патчи для глаз (частотн. уточнить)	70	70	22%	20020	Маг 25/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	JIGOTT - Ассорти набор масок [27ml х 15]	255574453	уход за лицом (частотн. уточнить)	70	70	22%	20020	Маг 22/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]/Крем для восстановления защитного барьера кожи лица	551392965	крем для лица (частотн. уточнить)	70	70	22%	20020	Маг 10/мес, конкур ~82/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
жёл	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs] / Охлаждающая гидрогелевая маска для лица с экстрактом агавы	226115324	тканевая маска для лица (частотн. уточнить)	50	50	25%	13750	Маг 217/мес, конкур ~1/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	PETITFEE - Black Pearl & Gold Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с черным жемчугом и золотом	151175880	патчи для глаз (частотн. уточнить)	50	50	25%	13750	Маг 212/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	PETITFEE - Agave Cooling Hydrogel Eye Patch [60ea] / Охлаждающие гидрогелевые патчи для глаз с экстрактом агавы	151175877	патчи для глаз (частотн. уточнить)	50	50	25%	13750	Маг 179/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	ROUND LAB MUGWORT CALMING CLEANSER_150ml - Очищающая пенка для умывания лица от прыщей и акне	437242640	пенка для умывания лица (частотн. уточнить)	50	50	25%	13750	Маг 149/мес, конкур ~176/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	ENOUGH - Premium Rich Gold Double Wear Radiance Foundation [Tone 13] / Тональный крем с частичками золота 13 тон	170198180	тональный крем для лица (частотн. уточнить)	50	50	25%	13750	Маг 139/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	ETUDE - Baking Powder BB Deep Cleansing Foam [160ml] / Пенка с содой для глубокого очищения и снятия макияжа	307073881	пенка для умывания лица (частотн. уточнить)	50	50	25%	13750	Маг 132/мес, конкур ~18/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	JIGOTT - Birds Nest Firming Cream [70ml] / Антивозрастной крем с экстрактом ласточкиного гнезда	207483780	антивозрастной крем для лица (частотн. уточнить)	50	50	25%	13750	Маг 126/мес, конкур ~82/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 21] / Тональный крем с пептидами 21 тон	170198337	тональный крем для лица (частотн. уточнить)	50	50	25%	13750	Маг 117/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	PETITFEE - Gold & Snail Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с золотом и улиткой	179611207	патчи для глаз (частотн. уточнить)	50	50	25%	13750	Маг 114/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом и экстрактом улитки	226115141	тканевая маска для лица (частотн. уточнить)	50	50	25%	13750	Маг 102/мес, конкур ~1/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 13] / Тональный крем с пептидами 13 тон	170198738	тональный крем для лица (частотн. уточнить)	50	50	25%	13750	Маг 98/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	ENOUGH - Collagen Moisture Foundation [Tone 21] / Тональный крем для лица с коллагеном 21 тон	150925322	тональный крем для лица (частотн. уточнить)	50	50	25%	13750	Маг 92/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	PETITFEE - Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом	226114935	тканевая маска для лица (частотн. уточнить)	50	50	25%	13750	Маг 89/мес, конкур ~1/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 13] / Тональный крем для лица с коллагеном 3в1 [13 тон]	151132051	тональный крем для лица (частотн. уточнить)	50	50	25%	13750	Маг 84/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	ENOUGH Collagen whitening cover tip concealer #02 [9g]/Консилер для лица	611744611	консилер для лица (частотн. уточнить)	50	50	25%	13750	Маг 78/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	JIGOTT - Moisture Real Aloe Vera Toner [300ml] / Тонер для лица увлажняющий с экстрактом алоэ	212759698	тонер для лица (частотн. уточнить)	50	50	25%	13750	Маг 68/мес, конкур ~70/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	PETITFEE - Gold Hydrogel Eye Patch [60ea] / гидрогелевые патчи для глаз с золотом	180711104	патчи для глаз (частотн. уточнить)	50	50	25%	13750	Маг 65/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml -Увлажняющий крем с березовым соком	437190353	крем для лица (частотн. уточнить)	50	50	25%	13750	Маг 61/мес, конкур ~82/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml] / Тонер с гиалуроновой кислотой антивозрастной	212883090	тонер для лица (частотн. уточнить)	50	50	25%	13750	Маг 54/мес, конкур ~70/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 21] / Тональный крем для лица с коллагеном 3в1 [21 тон]	151132052	тональный крем для лица (частотн. уточнить)	50	50	25%	13750	Маг 41/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs] / Тонизирующая гидрогелевая маска для лица с экстрактом какао	226115248	тканевая маска для лица (частотн. уточнить)	50	50	25%	13750	Маг 27/мес, конкур ~1/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs] / Смягчающая гидрогелевая маска для лица с экстрактом артишока	226114831	тканевая маска для лица (частотн. уточнить)	50	50	25%	13750	Маг 4/мес, конкур ~1/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
жёл	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]/успокаивающие тонер-пэды	551600265	тонер пэды для лица (частотн. уточнить)	50	50	25%	13750	Маг 1/мес, конкур ~103/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
бел	LANEIGE LIP SLEEPING MASK-BERRY [3g]	868761530	тканевая маска для лица (частотн. уточнить)	50	50	25%	12500	Маг 140/мес, конкур ~35/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
бел	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml] / Гель для умывания с бифидобактериями	868575374	пенка для умывания лица (частотн. уточнить)	50	50	25%	12500	Маг 91/мес, конкур ~176/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
бел	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml] / Сыворотка с микроиглами и пробиотиками	868700077	сыворотка для лица (частотн. уточнить)	50	50	25%	12500	Маг 46/мес, конкур ~60/мес; 50 выкупов→~14 отзывов; цель топ-30 по ключу
