Локация	Группа	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ 5А	9	9	9	4004	36036	не указано	комплект			36036
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ 6А	9	9	9	4004	36036	не указано	комплект			36036
Склад 1А/1Б		Головка воздушно-квадрат.(поплавковая) Ду25 (541-03.232)		8	8	4500	36000	не указано	комплект			36000
Склад 2	Клапан фланцевый угловой	Клапан фланцевый угловой Ду40 Ру25 сталь ок.входа	522-35.445-19	2	2	18000	36000	не указано	комплект			36000
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду15 Ру160	521-03.387	4	4	9000	36000	не указано	комплект			36000
Склад 2	Клапан для колонки указательной	Клапан для колонки указательной Ду10 Ру16	598-03.022-06	6	6	6000	36000	не указано	комплект			36000
Склад 3	ЭЛЕКТРИКА	Светильник СС-410(новые) большие	2	2	2	18000	36000	новый	комплект			36000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду15Ру100	521-01.464-01	6	6	6000	36000	не указано	комплект			36000
Фойе	Клапан фланцевый проходной	Клапан проходной фланцевый сталь			2	18000	36000	не указано	комплект			36000
Склад 1А/1Б		Задвижка клинкетная Ду100 без штока и блинов ( в разборе)		1	1	35000	35000	новый	не комплект			35000
Склад 2	Клапана быстрозапорн.фланцевые проходные	Клапан быстрозапор. фланц.проход.с тросиков.приводом Ду65 Ру6,3	521-03-022	1	1	35000	35000	не указано	комплект			35000
Склад 1А/1Б		Грибки АМГ Ду 150 (нижние) (541-03.316-02)		2	2	17000	34000	не указано	комплект			34000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 50А	10	10	10	3361	33610	не указано	комплект			33610
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ 3,2А	8	8	8	4004	32032	не указано	комплект			32032
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ 16А	8	8	8	4004	32032	не указано	комплект			32032
Склад 1А/1Б		Клапан фланцевый проходной Ду 80 Ру 10, 521 -35.3451		1	1	32000	32000	не указано	комплект			32000
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Рр150/10	521-ц22п	8	8	4000	32000	не указано	комплект			32000
Склад 2	Клапан штуцерный проходной	Клапан штуцерный проходной Ду 10 Ру100	521-01.469-03	7	7	4500	31500	не указано	комплект			31500
Склад 2	ЭЛЕКТРИКА	Светильник СС-328 решетка	38		38	800	30400	не указано	комплект			30400
Контейнер 1		Пускатели большие под полкой		2	2	15000	30000	не указано	комплект			30000
Склад 1А/1Б		Скобы разные ( 1 большая+ 2 маленькие )		3	3	10000	30000	не указано	комплект			30000
Склад 1А/1Б		Клапан фланцевый проходной Ду50 Ру 40 сталь (522-01-322)		2	2	15000	30000	не указано	комплект			30000
Склад 1А/1Б		Клапан фланцевый проходной Ду 125 (без чертежа)		1	1	30000	30000	не указано	не комплект			30000
Склад 2	Кран штуцерный спусковой самозапорный проходной	Кран штуцерный спусковой самозапорный проходной Ду15 Ру25		4	4	7500	30000	не указано	комплект			30000
Склад 3	ЭЛЕКТРИКА	Звонок ЗПВ 220В	4	4	4	7500	30000	не указано	комплект			30000
Склад 3	ЗИП	Сальниковая обойма нижняя часть НЦВС 63/20	2	2	2	15000	30000	не указано	комплект			30000
Склад 3	ЗИП	Корпус выхлопного клапана	1	1	1	30000	30000	не указано	комплект			30000
Склад 3	ЗИП	Клапан выхлопной	5	5	5	6000	30000	не указано	комплект			30000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру10	Без чертежа	5	5	6000	30000	не указано	комплект			30000
Склад 3	ЭЛЕКТРИКА	Светильник СС-373 в сборе	6	6	6	4950	29700	не указано	комплект			29700
Склад 3	ЭЛЕКТРИКА	Прожектор ГО-400 220-240В 50Гц	5	5	5	5914	29570	не указано	комплект			29570
Склад 2	Кран трехходовой штуцерный	Кран трехходовой штуцерный Ду32 Ру10	536-35.696	2	2	14400	28800	не указано	комплект			28800
Склад 1А/1Б		Противовес 3,2т (Россия)		1	1	28600	28600	не указано	комплект	Россия		28600
Склад 1А/1Б		Противовес 3,2т (Корея)		1	1	28600	28600	не указано	комплект	Корея		28600
Склад 3	ЭЛЕКТРИКА	Реле-регулятор РРТ-32	1	1	1	28500	28500	не указано	комплект			28500
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной ДУ32 Ру25	УН522-3М38	2	2	14000	28000	не указано	комплект			28000
Склад 2	Кательная арматура	Клапан Ду20/10	581-С6.73	3	3	9000	27000	не указано	комплект			27000
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной Ду65 Ру10	521-03.488	1	1	27000	27000	не указано	комплект			27000
Фойе		Светильник СС-839 (дно)		54	54	500	27000	не указано	комплект			27000
Контейнер 1		Стекло к светильникам СС-328(прозр.)		53	53	500	26500	не указано	комплект			26500
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 16А	8	8	8	3306	26448	не указано	комплект			26448
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20	536-3м 5	4	4	6500	26000	не указано	комплект			26000
Склад 1А/1Б		Клапан фланцевый проходной невозвратный Ду 50 РУ 25 (522-01.164)		1	1	25000	25000	не указано	комплект			25000
Склад 1А/1Б		Задвижка клинкетная Ду 50, без клиньев		1	1	25000	25000	не указано	не комплект			25000
Склад 2	Захлопки	Захлопка фланцевая вертикальная Ду50Ру63	529-35.1400-01	1	1	25000	25000	не указано	комплект			25000
Склад 2	Захлопки	Захлопка фланцевая горизонтальная Ду50	529-03.011	1	1	25000	25000	не указано	комплект			25000
Склад 2	Эжектор	Эжектор ВЭЖ 6,3		1	1	25000	25000	не указано	комплект			25000
Склад 3	ЭЛЕКТРИКА	Стекло с обогревом 560*800 б/у	1	1	1	25000	25000	б/у	комплект			25000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан Пожарный фланцевый угловой Ду50 Ру16	595-03.008	1	1	25000	25000	не указано	комплект			25000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 3МГ 4А	22	22	22	1121	24662	не указано	комплект			24662
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. ТИП А377 6БР 100А 380V	2	2	2	12295	24590	не указано	комплект			24590
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ 25А	6	6	6	4004	24024	не указано	комплект			24024
Склад 2	Клапан запорный штуцерный проходной	Клапан запорный штуцерный проходной Ду10 Ру16	521-35.2754	6	6	4000	24000	не указано	комплект			24000
Склад 2	Клапан штуцерный угловой	Клапан штуцерный угловой Ду10 Р160	522-03,149	6	6	4000	24000	не указано	комплект			24000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 40	Без чертежа	4	4	6000	24000	не указано	комплект			24000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду15 Ру160	525-03.011	4	4	6000	24000	не указано	комплект			24000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	КМ2312-18	0	6	6	4000	24000	не указано	комплект			24000
Склад 1А/1Б		Клапан фланцевый проходной Ду80 Ру 40 сталь (521-35.3437)		1	1	22000	22000	не указано	комплект			22000
Склад 1А/1Б		Клапан фланцевый проходной Ду80 Ру 40 сталь (522-01.101)		1	1	22000	22000	не указано	комплект			22000
Склад 1А/1Б		Задвижка клинкетная ДУ 80, сталь		1	1	22000	22000	не указано	комплект			22000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 3МГ 40А	10	10	10	2116	21160	не указано	комплект			21160
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду10 Ру100	521-01.465-01	1	1	20200	20200	не указано	комплект			20200
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ 12,5А	5	5	5	4004	20020	не указано	комплект			20020
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 3МГ 25А	5	5	5	4004	20020	не указано	комплект			20020
Контейнер 2		Крышка иллюминатора со стеклом Ф300мм броняшка		2	2	10000	20000	не указано	комплект			20000
Склад 1А/1Б		Коробка 2-х клапанная корпус		1	1	20000	20000	не указано	комплект			20000
Склад 1А/1Б		Грибки Ду125 б-у		1	1	20000	20000	б/у	комплект			20000
Склад 2	Клапан штуцерный проходной невозвратный	Клапан штуцерный проходной невозвратный Ду10Ру100	522-01-493	5	5	4000	20000	не указано	комплект			20000
Склад 2	Прочее	Сетка на фильтр Ду100 или Ду80		2	2	10000	20000	не указано	комплект			20000
Склад 2	Прочее	Сетка на фильтр Ду100 (медь) на кингстон РС-300		2	2	10000	20000	не указано	комплект			20000
Склад 3	ЭЛЕКТРИКА	Диски тормозные 185мм	2	2	2	10000	20000	не указано	комплект			20000
Менеджерская		Судовая запорная арматура		2	2	10000	20000	не указано	комплект			20000
Склад 3	ЗИП	Колесо рабочее для Насос НЦВ 40/20	1	1	1	19800	19800	не указано	комплект			19800
Склад 1А/1Б		Клапан невозвратно-приемный фланцевый Ду 65 Ру1 (522-03.023)		2	2	9750	19500	не указано	комплект			19500
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду32 Ру100	521-01.464-07	2	2	9600	19200	не указано	комплект			19200
Склад 3	ЗИП	Клапан компресс. ЭКП 70/25	4	4	4	4600	18400	не указано	комплект			18400
Контейнер 1		Прожектор большой		1	1	18000	18000	не указано	комплект			18000
Склад 1А/1Б		Задвижка клинкетная Ду60		1	1	18000	18000	не указано	комплект			18000
Склад 1А/1Б		Клапан проходной фланцевый Ду65 КОРПУС - БРАК		1	1	18000	18000	не указано	брак			18000
Склад 3	Задвижка клинкетная(бронза)	Задвижка клинкетная Ду60		1	1	18000	18000	не указано	комплект			18000
Склад 3	Клапан фланцевый угловой (бронза)	Клапан фланцевый угловой Ду40 Ру25	521-01.200	1	1	18000	18000	не указано	комплект			18000
Склад 3	ЭЛЕКТРИКА	Светильник СС-411 мал. (не понятный)	1	1	1	18000	18000	не указано	комплект			18000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 40	522 3м 13	3	3	6000	18000	не указано	комплект			18000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 100	521-01464-02	3	3	6000	18000	не указано	комплект			18000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду15Ру100	522-01.500-04	3	3	6000	18000	не указано	комплект			18000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду15 Ру100	522-01.500-05	3	3	6000	18000	не указано	комплект			18000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду15 Ру100	522-01.500-04	3	3	6000	18000	не указано	комплект			18000
Склад 3	ЭЛЕКТРИКА	Светильник взрывобезопасный НПП25-100	2	2	2	8890	17780	не указано	комплект			17780
Склад 3	Кингстон	Кингстон донный фланцевый Ду50 Ру2,5	без чертежа	1	1	17500	17500	не указано	комплект			17500
Склад 3	Кингстон	Кингстон донный фланцевый Ду50 Ру2,5	527-03.054	1	1	17500	17500	не указано	комплект			17500
Склад 3	ЭЛЕКТРИКА	Светильник ДНЮИ 676 252 006	7	7	7	2500	17500	не указано	комплект			17500
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 6,3А	4	4	4	4312	17248	не указано	комплект			17248
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 40А	4	4	4	4312	17248	не указано	комплект			17248
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ 20А	4	4	4	4004	16016	не указано	комплект			16016
Склад 2	ЭЛЕКТРИКА	Светильник СС328 (Эра комсом-на-амуре)	4		4	4000	16000	не указано	комплект			16000
Склад 3	Клапан фланцевый угловой (бронза)	Клапан фланцевый угловой Ду40 Ру10	522-03.202	1	1	16000	16000	не указано	комплект			16000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	КМ 2211-9	6	4	4	4000	16000	не указано	комплект			16000
Склад 3	ЭЛЕКТРИКА	Реле давления РНД-1	2	2	2	7980	15960	не указано	комплект			15960
Склад 3	ЭЛЕКТРИКА	Реле уровня РОС-400	1	1	1	15893	15893	не указано	комплект			15893
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 31,5А	4	4	4	3942	15768	не указано	комплект			15768
Склад 2	ЭЛЕКТРИКА	Светильник СС328 (китай)	10		10	1533	15330	не указано	комплект	Китай		15330
Склад 1А/1Б		Головка воздушно-квадрат.(поплавковая) Ду32 (541-03.224; 541-03.233)		3	3	5000	15000	не указано	комплект			15000
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду20 Ру100	521-01.468-05	5	5	3000	15000	не указано	комплект			15000
Склад 3	ЭЛЕКТРИКА	Предохранитель ПВД 40А	300	300	300	50	15000	не указано	комплект			15000
Склад 3	ЭЛЕКТРИКА	Светильник ВЗГ-100	2	2	2	7500	15000	не указано	комплект			15000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду25 Ру100	521-01.464-05	2	2	7500	15000	не указано	комплект			15000
Склад 3	ЭЛЕКТРИКА	РШП-3 380В 35А (розетка)	10	10	10	1487	14870	не указано	комплект			14870
Склад 3	ЭЛЕКТРИКА	Реле температуры ТАМ-102-1-07-2-2	2	2	2	7200	14400	не указано	комплект			14400
Склад 3	ЭЛЕКТРИКА	МКУ 1-0-3кг/см	4	4	4	3490	13960	не указано	комплект			13960
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду20 Ру160	521-03.479	3	3	4500	13500	не указано	комплект			13500
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 12А	4	4	4	3306	13224	не указано	комплект			13224
Склад 2	ЭЛЕКТРИКА	Светильник СС373 (решетка)	8		8	1632	13056	не указано	комплект			13056
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 15 Ру 40	521. 3м.666	2	2	6500	13000	не указано	комплект			13000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 15 Ру 100	522-01.498	2	2	6500	13000	не указано	комплект			13000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан Пожарный фланцевый угловой Ду32	595-03.006	1	1	12800	12800	не указано	комплект			12800
Склад 2	Клапан педальный	Клапан педальный Ду25	М528-03.001	1	1	12500	12500	не указано	комплект			12500
Склад 3	ЭЛЕКТРИКА	Кнопка КУ-741	1	1	1	12500	12500	не указано	комплект			12500
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ 8А	3	3	3	4004	12012	не указано	комплект			12012
Склад 2	Клапан штуцерный проходной Ду 10 Ру100	Клапан штуцерный проходной Ду 10 Ру400	521-03.420	2	2	6000	12000	не указано	комплект			12000
Склад 2	Клапан для манометра штуцерный сальниковый Ду6Ру100	Клапан для манометра штущерный Ду3Ру400 новый	521-03.406	2	2	6000	12000	новый	комплект			12000
Склад 2	Кран двухходовой штуцерный	Кран двухходовой штуцерный Ду20 Ру16	536-3М5	3	3	4000	12000	не указано	комплект			12000
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной ДУ25 ???	с камчатки	1	1	12000	12000	не указано	комплект			12000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 3А	4	4	4	3000	12000	не указано	комплект			12000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 40	521 3м 726	2	2	6000	12000	не указано	комплект			12000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 100	521-01.052	2	2	6000	12000	не указано	комплект			12000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 100	521-01.470-02	2	2	6000	12000	не указано	комплект			12000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 100	521-01.468-05	2	2	6000	12000	не указано	комплект			12000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду15Ру40	521-01.465-02	2	2	6000	12000	не указано	комплект			12000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду15 Ру100	521-35.3362	2	2	6000	12000	не указано	комплект			12000
Склад 3	ЭЛЕКТРИКА	Диски тормозные 170мм	4	4	4	2890	11560	не указано	комплект			11560
Склад 2	ЭЛЕКТРИКА	Светильник СС328 (дно)Украина приход 31.01.14	23		23	500	11500	не указано	комплект	Украина		11500
Склад 3	ЗИП	Фонарь выхлопной 8NVD48A2U	1	1	1	11500	11500	не указано	комплект			11500
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 32А	3	3	3	3661	10983	не указано	комплект			10983
Склад 3	ЭЛЕКТРИКА	Реле активной мощности РМ-53	1	1	1	10800	10800	не указано	комплект			10800
Склад 3	ЗИП	Клапан всасывающий	2	2	2	5400	10800	не указано	комплект			10800
Склад 2	ЭЛЕКТРИКА	Светильник СС-328 ДНО без армотизации	21		21	500	10500	не указано	не комплект			10500
Склад 3	ЭЛЕКТРИКА	ТРТ-122 11,5А	6	6	6	1716	10296	не указано	комплект			10296
Гараж 1		Дверь ВГН 1400*600 б/у левая		1	1	10000	10000	б/у	комплект			10000
Гараж 1		Трансформатор ОСВМ-2,5-74 50Hz		1	1	10000	10000	не указано	комплект			10000
Гараж 1		Трансформатор ОСВМ-0,63-74		1	1	10000	10000	не указано	комплект			10000
Гараж 1		РНП- 1А 230 Ампер			2	5000	10000	не указано	комплект			10000
Гараж 1		Ящик с ЗИП			1	10000	10000	не указано	комплект			10000
Склад 1А/1Б		Двигатель б/у на лапах		1	1	10000	10000	б/у	комплект			10000
Склад 2	Клапан невозв-запорн.с присоед.под дюрит проходной	Клапан невозв-запорн.с присоед.под дюрит прох. Ду 50 Ру6	522-03.124-04	1	1	10000	10000	не указано	комплект			10000
Склад 3	ЭЛЕКТРИКА	Лампочки накаливания 6V 21W BA15s	100	100	100	100	10000	не указано	комплект			10000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 10 Ру100	522-01.497	5	5	2000	10000	не указано	комплект			10000
Фойе		Стекло к светильникам СС-839		20	20	500	10000	не указано	комплект			10000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 15А	3	3	3	3306	9918	не указано	комплект			9918
Склад 2	ЭЛЕКТРИКА	Светильник СС-373 в сборе	2		2	4950	9900	не указано	комплект			9900
Склад 3	ЭЛЕКТРИКА	Диски тормозные 310мм	1	1	1	9890	9890	не указано	комплект			9890
Склад 1А/1Б		Клапан невозвратно-приемный фланцевый Ду 65 Ру1 (522-35.4044-01)		1	1	9750	9750	не указано	комплект			9750
Склад 1А/1Б		Клапан предохранит. фланцевый угловой Ду32Ру4 (524-03.090)		1	1	9600	9600	не указано	комплект			9600
Склад 2	Клапан цапковый угловой под дюрит	Клапан невозв-запор.цапковый угловой под дюрит Ду20Ру6	522-03.123	2	2	4800	9600	не указано	комплект			9600
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду32Ру100 (Яшик мет.)	521-01.464-06	1	1	9600	9600	не указано	комплект			9600
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду32Ру100 (Яшик мет.)	522-01.500-07	1	1	9600	9600	не указано	комплект			9600
Склад 2	Кран двухходовой фланцевый	Кран двухходовой фланцевый Ду32 Ру6	536-3М.72	1	1	9600	9600	не указано	комплект			9600
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной ДУ32 Ру25 (сталь)	521-01.068	1	1	9600	9600	не указано	комплект			9600
Склад 3	ЭЛЕКТРИКА	Сельсин БД-1404	2	2	2	4800	9600	не указано	комплект			9600
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду32 Ру100	522-01.500-07	1	1	9600	9600	не указано	комплект			9600
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 3МГ 1А	2	2	2	4682	9364	не указано	комплект			9364
Склад 3	ЭЛЕКТРИКА	Лампа Б230*35Вт	462	462	462	20	9240	не указано	комплект			9240
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду20 Ру160	521-03.479	1	1	9000	9000	не указано	комплект			9000
Склад 2	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230	Клапан предохранительный штуцерный сигнальный Ду6Ру100-250	524-03.188	2	2	4500	9000	не указано	комплект			9000
Склад 2	Клапан предохранительный штуцерный угловой Ду10Ру5-9	Клапан предохранительный штуцерный угловой Ду6,5-9	524-03.004	1	1	9000	9000	не указано	комплект			9000
Склад 3	ЗИП	Клапан пусковой	1	1	1	9000	9000	не указано	комплект			9000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду20 ру 40	522-35.3632	2	2	4500	9000	не указано	комплект			9000
Склад 3	ЭЛЕКТРИКА	Тумблер ТП1-2	15	15	15	595	8925	не указано	комплект			8925
Склад 3	ЭЛЕКТРИКА	РДК-57	5	5	5	1716	8580	не указано	комплект			8580
Склад 2	ЭЛЕКТРИКА	Светильник СС-328 ДНО с Армотизатором	17		17	500	8500	не указано	комплект			8500
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ 0,6А	2	2	2	4004	8008	не указано	комплект			8008
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ 2А	2	2	2	4004	8008	не указано	комплект			8008
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 3МГ 15А	2	2	2	4004	8008	не указано	комплект			8008
Склад 3	ЗИП	Плунжерная пара 1ая/2ая модель	2	2	2	4000	8000	не указано	комплект			8000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 10 Ру 40	521-01.471-01	4	4	2000	8000	не указано	комплект			8000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 10	Без чертежа	4	4	2000	8000	не указано	комплект			8000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	КМ 2244-9	1	2	2	4000	8000	не указано	комплект			8000
Фойе		Решетка СС373		4	4	2000	8000	не указано	комплект			8000
Фойе		Решетка СС 373		4	4	2000	8000	не указано	комплект			8000
Склад 3	ЭЛЕКТРИКА	Реле температуры комбинированное КРМ 60С 220В	1	1	1	7560	7560	не указано	комплект			7560
Контейнер 1		Стекло с решеткой светильника импортного		15	15	500	7500	не указано	комплект			7500
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду25	521--01.468-08	1	1	7500	7500	не указано	комплект			7500
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду25	521--35.3363	1	1	7500	7500	не указано	комплект			7500
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду25 Ру100	521-01.464.-04	1	1	7500	7500	не указано	комплект			7500
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 15 Ру40	522-01.501-01	1	1	6500	6500	не указано	комплект			6500
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 15 Ру40	521-01.471-02	1	1	6500	6500	не указано	комплект			6500
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 15 Ру 40	521-01.470.02	1	1	6500	6500	не указано	комплект			6500
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 15	521 3м.770	1	1	6500	6500	не указано	комплект			6500
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 15	без чертежа	1	1	6500	6500	не указано	комплект			6500
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 15 Ру 100	521-01.470	1	1	6500	6500	не указано	комплект			6500
Склад 2	Клапан штуцерный проходной Ду 10 Ру100	Клапан штуцерный проходной Ду 10 Ру400	521-35.3238	1	1	6000	6000	не указано	комплект			6000
Склад 2	Клапан штуцерный проходной Ду 10 Ру100	Клапан невозвратный штуцерный проходной Ду20Ру160	522-03.089	1	1	6000	6000	не указано	комплект			6000
Склад 2	Клапан штуцерный угловой	Клапан штуцерный угловой Ду6Ру100	521-01.467-02	3	3	2000	6000	не указано	комплект			6000
Склад 2	Клапан редукционный штуцерный угловой Ду10Ру200…30	Клапан редукционный штуцерный угловой Ду10Ру200…30 с манометром	525-35.2634	1	1	6000	6000	не указано	комплект			6000
Склад 2	Клапан редукционный штуцерный угловой Ду10Ру200…30	Клапан редукционный штуцерный угловой Ду10Ру200…30 с манометром	525-35.2634-04	1	1	6000	6000	не указано	комплект			6000
Склад 2	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230	Клапан предохранительный штуцерный сигнальный Ду10Ру1,3-6,5	524-03.174	1	1	6000	6000	не указано	комплект			6000
Склад 2	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230	Клапан предохранительный штуцерный сигнальный Ду10Ру2,5-6,5	524-03.173	1	1	6000	6000	не указано	комплект			6000
Склад 3	ЭЛЕКТРИКА	Патрон к светильнику СС-373	12	12	12	500	6000	не указано	комплект			6000
Склад 3	ЭЛЕКТРИКА	Светильник СС937 (зеленый)	1	1	1	6000	6000	не указано	комплект			6000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 10 Ру100	521-01.469-02	3	3	2000	6000	не указано	комплект			6000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 10 Ру100	521-01.469.03	3	3	2000	6000	не указано	комплект			6000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20	536 3м .333	1	1	6000	6000	не указано	комплект			6000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 40	521 3м 30	1	1	6000	6000	не указано	комплект			6000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 64	522-35 240	1	1	6000	6000	не указано	комплект			6000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 100	521-01.052	1	1	6000	6000	не указано	комплект			6000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 100	521-01.471-03	1	1	6000	6000	не указано	комплект			6000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 100	522-01.498.-03	1	1	6000	6000	не указано	комплект			6000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 100	425-322710	1	1	6000	6000	не указано	комплект			6000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду15 Ру100	521-01.464-02	1	1	6000	6000	не указано	комплект			6000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду15 Ру100	521-01.468-01	1	1	6000	6000	не указано	комплект			6000
